"Date","Open","High","Low","Adj. Close","Volume"
10/05/18,0.73,0.73,0.63,0.63,3458371
10/04/18,0.76,0.79,0.73,0.73,1975209
10/03/18,0.84,0.84,0.75,0.77,2705530
10/02/18,0.82,0.85,0.81,0.81,2529585
10/01/18,0.99,0.99,0.81,0.81,4058774
09/28/18,1,1.01,0.82,0.97,5306258
09/27/18,1.11,1.11,1,1.01,3382064
09/26/18,1.15,1.17,1.1,1.12,2988279
09/25/18,1.21,1.22,1.16,1.17,1381615
09/24/18,1.3,1.32,1.13,1.24,3470974
09/21/18,1.29,1.34,1.25,1.27,2004182
09/20/18,1.22,1.31,1.22,1.29,2711280
09/19/18,1.24,1.28,1.2,1.22,1283192
09/18/18,1.22,1.27,1.17,1.25,1726215
09/17/18,1.24,1.29,1.19,1.21,1704493
09/14/18,1.37,1.38,1.2,1.25,5720255
09/13/18,1.36,1.36,1.21,1.21,3639406
09/12/18,1.38,1.48,1.31,1.33,2005789
09/11/18,1.4,1.51,1.32,1.39,2389067
09/10/18,1.66,1.69,1.31,1.41,4043012
09/07/18,1.57,1.7,1.5,1.68,3304717
09/06/18,1.4,1.63,1.38,1.56,4009913
09/05/18,1.28,1.42,1.23,1.41,2214202
09/04/18,1.4,1.4,1.28,1.3,1726511
08/31/18,1.23,1.47,1.23,1.34,4285597
08/30/18,1.24,1.26,1.2,1.26,1715007
08/29/18,1.27,1.28,1.12,1.22,4088902
08/28/18,1.28,1.31,1.17,1.25,6769301
08/27/18,1.09,1.13,1.09,1.11,1048330
08/24/18,1.12,1.13,1.07,1.1,2560801
08/23/18,1.18,1.19,1.09,1.11,1898311
08/22/18,1.23,1.23,1.15,1.18,1727783
08/21/18,1.26,1.28,1.2,1.23,2213911
08/20/18,1.3,1.35,1.22,1.23,2004296
08/17/18,1.44,1.44,1.27,1.32,2442881
08/16/18,1.59,1.64,1.42,1.46,1757167
08/15/18,1.77,1.82,1.58,1.59,2299180
08/14/18,1.8,1.85,1.79,1.83,750408
08/13/18,1.9,1.92,1.78,1.79,988622
08/10/18,1.9,1.98,1.89,1.91,608804
08/09/18,1.9,2.01,1.9,1.92,552294
08/08/18,1.92,2.01,1.87,1.98,875864
08/07/18,1.87,1.93,1.83,1.91,560679
08/06/18,1.85,1.89,1.85,1.86,403790
08/03/18,1.81,1.88,1.81,1.85,330151
08/02/18,1.82,1.88,1.8,1.82,650353
08/01/18,1.82,1.9,1.8,1.85,915178
07/31/18,1.76,1.87,1.76,1.84,1165077
07/30/18,1.9,1.91,1.76,1.83,1691625
07/27/18,2.04,2.07,1.86,1.91,1966895
07/26/18,2.04,2.13,2.04,2.05,483384
07/25/18,2.05,2.09,2.01,2.07,748232
07/24/18,2.14,2.19,2.04,2.05,1417065
07/23/18,2.17,2.2,2.13,2.15,699223
07/20/18,2.22,2.24,2.18,2.21,513217
07/19/18,2.16,2.23,2.16,2.21,822335
07/18/18,2.2,2.21,2.13,2.17,915740
07/17/18,2.18,2.24,2.15,2.2,934985
07/16/18,2.28,2.32,2.17,2.18,1354520
07/13/18,2.31,2.42,2.25,2.26,1076134
07/12/18,2.38,2.38,2.3,2.33,557426
07/11/18,2.28,2.42,2.28,2.39,728898
07/10/18,2.28,2.36,2.28,2.31,526261
07/09/18,2.25,2.46,2.25,2.3,633789
07/06/18,2.3,2.32,2.25,2.27,797645
07/05/18,2.29,2.36,2.27,2.31,538261
07/03/18,2.35,2.42,2.27,2.28,656870
07/02/18,2.32,2.5,2.3,2.34,1275285
06/29/18,2.27,2.37,2.22,2.37,1163135
06/28/18,2.16,2.29,2.14,2.26,1143299
06/27/18,2.29,2.34,2.16,2.17,1247506
06/26/18,2.27,2.34,2.27,2.3,985103
06/25/18,2.39,2.4,2.23,2.26,1938576
06/22/18,2.39,2.48,2.36,2.42,3671818
06/21/18,2.48,2.49,2.35,2.37,1258577
06/20/18,2.5,2.58,2.45,2.47,976316
06/19/18,2.53,2.59,2.46,2.48,1075738
06/18/18,2.58,2.66,2.53,2.58,1325565
06/15/18,2.54,2.68,2.51,2.58,1642229
06/14/18,2.68,2.83,2.55,2.57,2599968
06/13/18,2.49,2.79,2.45,2.66,3120948
06/12/18,2.52,2.67,2.43,2.45,3347050
06/11/18,2.28,2.47,2.24,2.41,1941927
06/08/18,2.29,2.35,2.25,2.3,1515240
06/07/18,2.19,2.35,2.19,2.28,1750036
06/06/18,2.23,2.27,2.17,2.19,1798869
06/05/18,2.13,2.39,2.08,2.28,3465841
06/04/18,2.3,2.3,2.11,2.15,2485712
06/01/18,2.81,2.81,2.27,2.28,5508864
05/31/18,3,3.02,2.8,2.81,3740312
05/30/18,3.46,3.46,3.14,3.21,3801144
05/29/18,3.48,3.59,3.41,3.44,1080400
05/25/18,3.31,3.6,3.31,3.49,1795081
05/24/18,3.4,3.4,3.25,3.31,771966
05/23/18,3.33,3.42,3.22,3.39,2101625
05/22/18,3.64,3.65,3.27,3.38,3212119
05/21/18,3.72,3.91,3.58,3.63,2219611
05/18/18,3.71,3.71,3.47,3.59,1624884
05/17/18,3.8,3.86,3.62,3.69,1930181
05/16/18,3.55,3.85,3.5,3.8,2245371
05/15/18,3.6,3.65,3.35,3.5,2451451
05/14/18,3.8,4.08,3.5,3.65,7551633
05/11/18,3.17,3.58,3.09,3.42,3886111
05/10/18,3.23,3.29,3,3.15,3522826
05/09/18,2.81,3.46,2.61,3.2,12319731
05/08/18,2.97,3.01,2.74,2.76,1801144
05/07/18,3.29,3.31,2.98,2.99,1549044
05/04/18,3.13,3.39,3.09,3.3,1313302
05/03/18,3.05,3.19,3.02,3.13,974332
05/02/18,3.01,3.15,2.98,3.05,718561
05/01/18,2.99,3.02,2.88,3,861357
04/30/18,3.16,3.16,2.98,2.99,1064115
04/27/18,3.2,3.28,3.11,3.16,718460
04/26/18,3.23,3.28,3.17,3.22,433917
04/25/18,3.26,3.31,3.17,3.22,687895
04/24/18,3.26,3.39,3.09,3.32,1423245
04/23/18,3.24,3.28,3.04,3.24,2365194
04/20/18,3.02,3.11,2.9,3.01,820865
04/19/18,3.13,3.2,2.93,3.05,934461
04/18/18,3.06,3.19,3.06,3.15,699707
04/17/18,3.36,3.48,3,3.03,1647612
04/16/18,3.34,3.59,3.32,3.35,1739197
04/13/18,3.42,3.53,3.31,3.32,1206625
04/12/18,3.34,3.54,3.27,3.4,2160094
04/11/18,3.05,3.45,3.05,3.3,3284571
04/10/18,2.88,3.1,2.84,3.07,1560978
04/09/18,2.89,2.98,2.82,2.82,795561
04/06/18,2.95,3.06,2.86,2.88,818680
04/05/18,2.89,3.07,2.74,2.97,1455122
04/04/18,2.66,2.9,2.62,2.89,1349632
04/03/18,2.6,2.79,2.57,2.69,1357794
04/02/18,2.68,2.88,2.49,2.59,1682175
03/29/18,2.81,3.18,2.6,2.67,3707415
03/28/18,2.5,2.87,2.5,2.81,3134451
03/27/18,2.3,2.6,2.29,2.5,2863678
03/26/18,2.24,2.33,2.18,2.33,1322289
03/23/18,2.28,2.28,2.16,2.18,1116404
03/22/18,2.31,2.33,2.17,2.3,1352121
03/21/18,2.28,2.42,2.28,2.32,1269687
03/20/18,2.33,2.36,2.21,2.29,1086458
03/19/18,2.34,2.36,2.21,2.33,1165230
03/16/18,2.29,2.4,2.21,2.32,3562294
03/15/18,2.5,2.57,2.19,2.26,3699495
03/14/18,2.56,2.61,2.38,2.42,1424373
03/13/18,2.5,2.65,2.45,2.55,1657865
03/12/18,2.58,2.72,2.37,2.44,1347133
03/09/18,2.42,2.64,2.41,2.56,1666906
03/08/18,2.41,2.48,2.38,2.43,628548
03/07/18,2.44,2.5,2.35,2.42,1254595
03/06/18,2.54,2.58,2.37,2.46,1544851
03/05/18,2.73,2.75,2.5,2.55,1675945
03/02/18,2.45,2.74,2.4,2.73,1876874
03/01/18,2.41,2.51,2.33,2.47,985854
02/28/18,2.57,2.6,2.35,2.42,1105656
02/27/18,2.66,2.76,2.52,2.57,1351375
02/26/18,2.45,2.6,2.4,2.58,1056508
02/23/18,2.36,2.5,2.33,2.43,893963
02/22/18,2.41,2.45,2.31,2.33,827075
02/21/18,2.35,2.42,2.3,2.36,1424276
02/20/18,2.64,2.75,2.28,2.33,2417640
02/16/18,2.62,2.85,2.55,2.61,2575097
02/15/18,2.45,2.73,2.23,2.63,5035098
02/14/18,2.27,2.36,2.13,2.3,1634011
02/13/18,2.06,2.35,2.05,2.27,2217082
02/12/18,2.15,2.18,1.99,2.07,2396886
02/09/18,2.12,2.21,2.06,2.15,964222
02/08/18,2.23,2.3,2.09,2.11,1451459
02/07/18,2.26,2.31,2.17,2.26,1181555
