"Date","Open","High","Low","Adj. Close","Volume"
10/05/18,274.65,274.88,260,261.95,17944537
10/04/18,293.95,294,277.67,281.83,9814212
10/03/18,303.33,304.6,291.57,294.8,7994988
10/02/18,313.95,316.84,299.15,301.02,11743511
10/01/18,305.77,311.44,301.05,310.7,21777597
09/28/18,270.26,278,260.56,264.77,33649694
09/27/18,312.9,314.96,306.91,307.52,8509084
09/26/18,301.91,313.89,301.11,309.58,7843216
09/25/18,300,304.6,296.5,300.99,4481729
09/24/18,298.48,303,293.58,299.68,4842961
09/21/18,297.7,300.58,295.37,299.1,5050478
09/20/18,303.56,305.98,293.33,298.33,7349422
09/19/18,280.51,300,280.5,299.02,8294917
09/18/18,296.69,302.64,275.5,284.96,16547522
09/17/18,290.04,300.87,288.13,294.84,6887577
09/14/18,288.76,297.33,286.52,295.2,6765612
09/13/18,288.02,295,285.18,289.46,6340336
09/12/18,281.44,292.5,278.65,290.54,10015427
09/11/18,279.47,282,273.55,279.44,9169989
09/10/18,273.26,286.03,271,285.5,14283528
09/07/18,260.1,268.35,252.25,263.24,22491931
09/06/18,284.8,291.17,278.88,280.95,7480760
09/05/18,285.05,286.78,277.18,280.74,7720821
09/04/18,296.94,298.19,288,288.95,8350469
08/31/18,302,305.31,298.6,301.66,5375104
08/30/18,302.26,304.6,297.72,303.15,7216706
08/29/18,310.27,311.85,303.69,305.01,7447392
08/28/18,318.41,318.88,311.19,311.86,7649091
08/27/18,318,322.44,308.81,319.27,13079288
08/24/18,320.7,323.85,319.4,322.82,3602564
08/23/18,319.14,327.32,318.1,320.1,5147286
08/22/18,320.87,323.88,314.67,321.64,5945955
08/21/18,310.61,324.79,309,321.9,13172230
08/20/18,291.7,308.5,288.2,308.44,17402335
08/17/18,323.5,326.77,303.53,305.5,18958612
08/16/18,339.91,342.28,333.82,335.45,6064033
08/15/18,341.91,344.49,332.14,338.69,9101258
08/14/18,358.45,359.2,347.1,347.64,6986427
08/13/18,361.13,363.19,349.02,356.41,10463881
08/10/18,354,360,346,355.49,11552044
08/09/18,365.55,367.01,345.73,352.45,17183811
08/08/18,369.09,382.64,367.12,370.34,24571163
08/07/18,343.84,387.46,339.15,379.57,30875768
08/06/18,345.46,354.98,341.82,341.99,8564331
08/03/18,347.81,355,342.53,348.17,13656486
08/02/18,328.44,349.99,323.16,349.54,23214962
08/01/18,297.99,303,293,300.84,10129430
07/31/18,292.25,298.32,289.07,298.14,5076916
07/30/18,295.9,296.1,286.13,290.17,6814072
07/27/18,307.25,307.69,295.34,297.18,5703326
07/26/18,304.85,310.7,303.64,306.65,4630522
07/25/18,296.74,309.62,294.5,308.74,7094180
07/24/18,304.42,307.72,292.55,297.43,9590784
07/23/18,301.84,305.5,292.86,303.2,10992947
07/20/18,321.23,323.24,311.71,313.58,5166547
07/19/18,316.33,323.54,314.01,320.23,5915345
07/18/18,325,325.5,316.25,323.85,5624211
07/17/18,308.81,324.74,308.5,322.69,6996232
07/16/18,311.71,315.16,306.25,310.1,7818655
07/13/18,315.58,319.58,309.25,318.87,5875770
