"Date","Open","High","Low","Adj. Close","Volume"
10/05/18,1917.99,1929.08,1862.83,1889.65,6822327
10/04/18,1949,1956,1896.57,1909.42,7256973
10/03/18,1981.7,1989.7,1949.81,1952.76,5253131
10/02/18,1999.99,2013.39,1965.77,1971.31,5400749
10/01/18,2021.99,2033.19,2003.6,2004.36,3468285
09/28/18,2004.41,2026.52,1996.46,2003,4085135
09/27/18,1993.24,2016.16,1988.58,2012.98,4329391
09/26/18,1968.5,1995.25,1961.52,1974.85,4313459
09/25/18,1942.9,1975.91,1938.85,1974.55,4538407
09/24/18,1903.79,1936.88,1865,1934.36,4213728
09/21/18,1954.22,1957.31,1910.5,1915.01,6855898
09/20/18,1938.58,1955,1932.25,1944.3,3154934
09/19/18,1940.5,1940.83,1904.9,1926.42,4056822
09/18/18,1918.65,1958.2,1915.44,1941.05,4268706
09/17/18,1954.73,1956.82,1887.41,1908.03,7050192
09/14/18,1992.93,1993.65,1959.22,1970.19,3642030
09/13/18,2000,2008.76,1982.03,1989.87,3621511
09/12/18,1994,2000,1962.44,1990,4414012
09/11/18,1928.27,1988.88,1917,1987.15,5033645
09/10/18,1971,1973.04,1931.52,1939.01,4544831
09/07/18,1938.71,1975.2,1937.35,1952.07,4892643
09/06/18,2006.51,2007.5,1935.21,1958.31,7488680
09/05/18,2038.11,2040.38,1989.89,1994.82,8220576
09/04/18,2026.5,2050.5,2013,2039.51,5721093
08/31/18,2007,2022.38,2004.74,2012.71,4204378
08/30/18,1997.42,2025.57,1986.9,2002.38,7277257
08/29/18,1953.45,1998.69,1948.94,1998.1,6531761
08/28/18,1937.73,1941.78,1928.82,1932.82,3100727
08/27/18,1915,1927.7,1909.28,1927.68,3569037
08/24/18,1910.51,1916.01,1902.54,1905.39,2800863
08/23/18,1907.17,1919.5,1900.76,1902.9,3562997
08/22/18,1876.64,1905.8,1876.64,1904.9,3080464
08/21/18,1880,1897.75,1874.41,1883.42,3105626
08/20/18,1890.57,1891.75,1866.06,1876.71,2862016
08/17/18,1885.8,1888,1855.55,1882.22,4104300
08/16/18,1903.94,1905,1883.55,1886.52,3957090
08/15/18,1909.55,1916.21,1869.79,1882.62,7700682
08/14/18,1919.39,1921.01,1900,1919.65,3986123
08/13/18,1898.5,1925,1893.67,1896.2,5531475
08/10/18,1888.51,1899.5,1878.21,1886.3,3639927
08/09/18,1882,1914.57,1877.48,1898.52,4860374
08/08/18,1861,1891.51,1854.5,1886.52,3963017
08/07/18,1854.53,1869.72,1846.27,1862.48,3377473
08/06/18,1825.81,1847.77,1818.92,1847.75,3391825
08/03/18,1837.74,1841,1821.5,1823.29,3460487
08/02/18,1788.77,1836.56,1786,1834.33,4354681
08/01/18,1784,1798.44,1776.02,1797.17,4153096
07/31/18,1786.49,1801.83,1739.32,1777.44,5738713
07/30/18,1827.33,1829.5,1766.02,1779.22,6562321
07/27/18,1876.05,1880.05,1806.53,1817.27,9680959
07/26/18,1839,1844.68,1804.5,1808,9924371
07/25/18,1829.3,1863.84,1822.64,1863.61,3836333
07/24/18,1829.01,1840,1809.38,1829.24,4278723
07/23/18,1812.21,1819,1769.99,1802,3888462
07/20/18,1825.01,1834.84,1810.06,1813.7,3891566
07/19/18,1829.46,1841,1811.27,1812.97,4676942
07/18/18,1848,1858.88,1831.27,1842.92,4861913
07/17/18,1811.56,1851.69,1797.38,1843.93,5682881
07/16/18,1821.95,1841.95,1814.45,1822.49,5466195
07/13/18,1803.93,1815.3,1795.23,1813.03,4386679
07/12/18,1764.51,1798,1762.18,1796.62,4532743
07/11/18,1737.99,1756.96,1734,1755,3209782
07/10/18,1738.53,1750,1731,1743.07,3002905
07/09/18,1724.05,1739.56,1716.23,1739.02,3011988
07/06/18,1696,1715.27,1691.67,1710.63,2650262
07/05/18,1705.38,1710.69,1682.15,1699.73,2983110
07/03/18,1723.96,1725,1692.48,1693.96,2177276
07/02/18,1682.7,1713.89,1678.06,1713.78,3185696
06/29/18,1717,1723.41,1694.32,1699.8,4543508
06/28/18,1672.54,1705.5,1661.17,1701.45,4529700
06/27/18,1708.11,1711.95,1660,1660.51,4872201
06/26/18,1672.37,1701.57,1663.34,1691.09,4386585
06/25/18,1702.51,1705,1646.31,1663.15,7511196
06/22/18,1742.62,1743,1711.9,1715.67,4075124
06/21/18,1760,1763.1,1717.56,1730.22,4941148
06/20/18,1742.5,1762.93,1741.36,1750.08,4332591
06/19/18,1709.04,1736.11,1700.39,1734.78,4290117
06/18/18,1706.26,1726.74,1702.56,1723.79,3107742
06/15/18,1714,1720.87,1708.52,1715.97,4777646
06/14/18,1713.48,1724.8,1708.87,1723.86,3174415
06/13/18,1702.81,1713.75,1700.12,1704.86,3327529
06/12/18,1693,1699.51,1691.52,1698.75,2259215
06/11/18,1681.51,1694.24,1680.59,1689.12,2335484
06/08/18,1681.12,1689.44,1673.01,1683.99,2955110
06/07/18,1698.56,1699.9,1676.11,1689.3,3765687
06/06/18,1704.51,1714.5,1686.47,1695.75,5473213
06/05/18,1672.99,1699,1670.06,1696.35,4782177
06/04/18,1648.9,1665.68,1645.49,1665.27,3187737
06/01/18,1637.03,1646.73,1635.09,1641.54,3313385
05/31/18,1623,1635,1621.35,1629.62,3166330
05/30/18,1618.1,1626,1612.93,1624.89,2907357
05/29/18,1600.71,1621.79,1600.15,1612.87,3846477
05/25/18,1603,1614.12,1600.45,1610.15,2698400
05/24/18,1598.03,1608.24,1588.38,1603.07,3429975
05/23/18,1571.05,1601.86,1566.34,1601.86,3361892
05/22/18,1589.89,1589.89,1575.25,1581.4,2115639
05/21/18,1585,1592.05,1575,1585.46,2925235
05/18/18,1581.33,1583.59,1572.1,1574.37,2642584
05/17/18,1580.56,1594.04,1573,1581.76,2147606
05/16/18,1577.5,1594.43,1576.67,1587.28,2570572
05/15/18,1587.8,1587.8,1565.22,1576.12,5077465
05/14/18,1604,1611.18,1600.05,1601.54,2509483
05/11/18,1610.99,1611.1,1597.89,1602.91,2263900
05/10/18,1608.48,1615.6,1603.44,1609.08,2817450
05/09/18,1600,1608,1592,1608,3637302
05/08/18,1595,1596.88,1582.51,1592.39,3067949
05/07/18,1589.34,1606.95,1587.83,1600.14,3801855
05/04/18,1562.45,1584.9,1562.19,1580.95,3443567
05/03/18,1560.01,1574.8,1546.02,1572.08,4251917
05/02/18,1580.98,1588.5,1566.36,1569.68,4360273
05/01/18,1563.22,1585,1552.18,1582.26,4572071
04/30/18,1582.5,1596,1560.94,1566.13,5464085
04/27/18,1634.01,1638.1,1567.39,1572.62,13053241
04/26/18,1485.01,1529.42,1478.5,1517.96,8801101
04/25/18,1458,1469.99,1415.02,1460.17,6587290
04/24/18,1535.8,1539.5,1448.45,1460.09,7494699
04/23/18,1546.69,1548,1503.41,1517.86,4465424
04/20/18,1561.2,1561.2,1516.09,1527.49,5541622
04/19/18,1543.22,1568.52,1539.06,1556.91,6523728
04/18/18,1514.65,1533.8,1504.11,1527.84,5227509
04/17/18,1462.3,1507.19,1457.02,1503.83,5114403
04/16/18,1445,1447,1427.48,1441.5,2808624
04/13/18,1449.14,1459.78,1424.52,1430.79,3685267
04/12/18,1439.5,1452.12,1435.06,1448.5,3135027
04/11/18,1439.44,1448.78,1424.89,1427.05,3582533
04/10/18,1431.99,1438.38,1415.7,1436.22,4280144
04/09/18,1425.03,1438.48,1402.57,1406.08,4208206
04/06/18,1429.97,1452.5,1400.26,1405.23,5882257
04/05/18,1441.99,1459.56,1427.07,1451.75,6413459
04/04/18,1358.24,1415.39,1352.88,1410.57,6982305
04/03/18,1391.38,1414,1355.33,1392.05,10231212
04/02/18,1417.62,1421.36,1355,1371.99,10463607
03/29/18,1406,1455.47,1365.2,1447.34,12581121
03/28/18,1447,1455.9,1386.17,1431.42,13705317
03/27/18,1572.4,1575.97,1482.32,1497.05,6999631
03/26/18,1530,1556.99,1499.25,1555.86,5624700
03/23/18,1539.01,1549.02,1495.36,1495.56,8006033
03/22/18,1565.47,1573.85,1542.4,1544.92,6320551
03/21/18,1586.45,1590,1563.17,1581.86,4750771
03/20/18,1550.34,1587,1545.41,1586.51,4581568
03/19/18,1554.53,1561.66,1525.35,1544.93,6580766
03/16/18,1583.45,1589.44,1567.5,1571.68,5425012
03/15/18,1595,1596.91,1578.11,1582.32,4069701
03/14/18,1597,1606.44,1590.89,1591,4259443
