"Date","Open","High","Low","Adj. Close","Volume"
10/05/18,1167.5,1173.5,1145.12,1157.35,1184452
10/04/18,1195.33,1197.51,1155.58,1168.19,2209490
10/03/18,1205,1206.41,1193.83,1202.95,1256214
10/02/18,1190.96,1209.96,1186.63,1200.11,1687914
10/01/18,1199.89,1209.9,1190.3,1195.31,1357604
09/28/18,1191.87,1195.41,1184.5,1193.47,1380629
09/27/18,1186.73,1202.1,1183.63,1194.64,1260754
09/26/18,1185.15,1194.23,1174.77,1180.49,1462253
09/25/18,1176.15,1186.88,1168,1184.65,977731
09/24/18,1157.17,1178,1146.91,1173.37,1271017
09/21/18,1192,1192.21,1166.04,1166.09,4405584
09/20/18,1179.99,1189.89,1173.36,1186.87,1225387
09/19/18,1164.98,1173.21,1154.58,1171.09,1191386
09/18/18,1157.09,1176.08,1157.09,1161.22,1203686
09/17/18,1170.14,1177.24,1154.03,1156.05,1306522
09/14/18,1179.1,1180.43,1168.33,1172.53,943978
09/13/18,1170.74,1178.61,1162.85,1175.33,1431214
09/12/18,1172.72,1178.61,1158.36,1162.82,1295472
09/11/18,1161.63,1178.68,1156.24,1177.36,1209565
09/10/18,1172.19,1174.54,1160.11,1164.64,1115796
09/07/18,1158.67,1175.26,1157.22,1164.83,1401404
09/06/18,1186.3,1186.3,1152,1171.44,1888467
09/05/18,1193.8,1199.01,1162,1186.48,2061309
09/04/18,1204.27,1212.99,1192.5,1197,1831045
08/31/18,1234.98,1238.66,1211.29,1218.19,1816426
08/30/18,1244.23,1253.64,1232.59,1239.12,1331439
08/29/18,1237.45,1250.66,1236.36,1249.3,1309312
08/28/18,1241.29,1242.55,1228.69,1231.15,1304007
08/27/18,1227.6,1243.09,1225.72,1241.82,1156255
08/24/18,1208.82,1221.65,1206.36,1220.65,946840
08/23/18,1207.14,1221.28,1204.24,1205.38,992604
08/22/18,1200,1211.84,1199,1207.33,887389
08/21/18,1208,1217.26,1200.35,1201.62,1205580
08/20/18,1205.02,1211,1194.63,1207.77,870772
08/17/18,1202.03,1209.02,1188.24,1200.96,1389645
08/16/18,1224.73,1226,1202.55,1206.49,1343161
08/15/18,1229.26,1235.24,1209.51,1214.38,1828814
08/14/18,1235.19,1245.87,1225.11,1242.1,1348194
08/13/18,1236.98,1249.27,1233.64,1235.01,997346
08/10/18,1243,1245.7,1232,1237.61,1108919
08/09/18,1249.9,1255.54,1246.01,1249.1,848601
08/08/18,1240.47,1256.5,1238.01,1245.61,1370913
08/07/18,1237,1251.17,1236.17,1242.22,1493980
08/06/18,1225,1226.09,1215.8,1224.77,1081723
08/03/18,1229.62,1230,1215.06,1223.71,1089896
08/02/18,1205.9,1229.88,1204.79,1226.15,1531299
08/01/18,1228,1233.47,1210.21,1220.01,1567264
07/31/18,1220.01,1227.59,1205.6,1217.26,1644722
07/30/18,1228.01,1234.92,1211.47,1219.74,1849904
07/27/18,1271,1273.89,1231,1238.5,2130558
07/26/18,1251,1269.77,1249.02,1268.33,2405638
07/25/18,1239.13,1265.86,1239.13,1263.7,2139999
07/24/18,1262.59,1266,1235.56,1248.08,3318204
07/23/18,1181.01,1206.49,1181,1205.5,2619234
07/20/18,1186.96,1196.86,1184.22,1184.91,1248400
07/19/18,1191,1200,1183.32,1186.96,1276667
