Date,Date,Open,High,Low,Adj. Close,Volume
2018-10-05,2018-10-05,227.96,228.41,220.58,224.29,33580463
2018-10-04,2018-10-04,230.78,232.35,226.73,227.99,32042000
2018-10-03,2018-10-03,230.05,233.47,229.78,232.07,28654799
2018-10-02,2018-10-02,227.25,230,226.63,229.28,24788170
2018-10-01,2018-10-01,227.95,229.42,226.35,227.26,23600802
2018-09-28,2018-09-28,224.79,225.84,224.02,225.74,22929364
2018-09-27,2018-09-27,223.82,226.44,223.54,224.95,30181227
2018-09-26,2018-09-26,221,223.75,219.76,220.42,23984706
2018-09-25,2018-09-25,219.75,222.82,219.7,222.19,24554379
2018-09-24,2018-09-24,216.82,221.26,216.63,220.79,27693358
2018-09-21,2018-09-21,220.78,221.36,217.29,217.66,96246748
2018-09-20,2018-09-20,220.24,222.28,219.15,220.03,26608794
2018-09-19,2018-09-19,218.5,219.62,215.3,218.37,27123833
2018-09-18,2018-09-18,217.79,221.85,217.12,218.24,31571712
2018-09-17,2018-09-17,222.15,222.95,217.27,217.88,37195133
2018-09-14,2018-09-14,225.75,226.84,222.52,223.84,31999289
2018-09-13,2018-09-13,223.52,228.35,222.57,226.41,41706377
2018-09-12,2018-09-12,224.94,225,219.84,221.07,49278740
2018-09-11,2018-09-11,218.01,224.3,216.56,223.85,35749049
2018-09-10,2018-09-10,220.95,221.85,216.47,218.33,39516453
2018-09-07,2018-09-07,221.85,225.37,220.71,221.3,37619810
2018-09-06,2018-09-06,226.23,227.35,221.3,223.1,34289976
2018-09-05,2018-09-05,228.99,229.67,225.1,226.87,33332960
2018-09-04,2018-09-04,228.41,229.18,226.63,228.36,27390132
2018-08-31,2018-08-31,226.51,228.87,226,227.63,43340134
2018-08-30,2018-08-30,223.25,228.26,222.4,225.03,48793824
2018-08-29,2018-08-29,222.98,223.49,219.41,222.98,27254804
2018-08-28,2018-08-28,219.01,220.54,218.92,219.7,22776766
2018-08-27,2018-08-27,217.15,218.74,216.33,217.94,20525117
2018-08-24,2018-08-24,216.6,216.9,215.11,216.16,18476356
2018-08-23,2018-08-23,214.65,217.05,214.6,215.49,18883224
2018-08-22,2018-08-22,214.1,216.36,213.84,215.05,19018131
2018-08-21,2018-08-21,216.8,217.19,214.03,215.04,26159755
2018-08-20,2018-08-20,218.1,219.18,215.11,215.46,30287695
2018-08-17,2018-08-17,213.44,217.95,213.16,217.58,35426997
2018-08-16,2018-08-16,211.75,213.81,211.47,213.32,28500367
2018-08-15,2018-08-15,209.22,210.74,208.33,210.24,28807564
2018-08-14,2018-08-14,210.16,210.56,208.26,209.75,20748010
2018-08-13,2018-08-13,209.31,210.95,207.7,208.87,25890880
2018-08-10,2018-08-10,207.36,209.1,206.67,207.53,24611202
2018-08-10,2018-08-10,0.73 Dividend,,,,
2018-08-09,2018-08-09,208.8,209.05,206.48,208.15,23492626
2018-08-08,2018-08-08,205.33,207.08,203.81,206.53,22525487
2018-08-07,2018-08-07,208.59,208.77,206.04,206.39,25587387
2018-08-06,2018-08-06,207.27,208.52,206.35,208.34,25425387
2018-08-03,2018-08-03,206.31,208.01,204.76,207.26,33447396
