Date,Date,Open,High,Low,Adj. Close,Volume
2018-10-05,2018-10-05,1917.99,1929.08,1862.83,1889.65,6822327
2018-10-04,2018-10-04,1949,1956,1896.57,1909.42,7256973
2018-10-03,2018-10-03,1981.7,1989.7,1949.81,1952.76,5253131
2018-10-02,2018-10-02,1999.99,2013.39,1965.77,1971.31,5400749
2018-10-01,2018-10-01,2021.99,2033.19,2003.6,2004.36,3468285
2018-09-28,2018-09-28,2004.41,2026.52,1996.46,2003.0,4085135
2018-09-27,2018-09-27,1993.24,2016.16,1988.58,2012.98,4329391
2018-09-26,2018-09-26,1968.5,1995.25,1961.52,1974.85,4313459
2018-09-25,2018-09-25,1942.9,1975.91,1938.85,1974.55,4538407
2018-09-24,2018-09-24,1903.79,1936.88,1865,1934.36,4213728
2018-09-21,2018-09-21,1954.22,1957.31,1910.5,1915.01,6855898
2018-09-20,2018-09-20,1938.58,1955,1932.25,1944.3,3154934
2018-09-19,2018-09-19,1940.5,1940.83,1904.9,1926.42,4056822
2018-09-18,2018-09-18,1918.65,1958.2,1915.44,1941.05,4268706
2018-09-17,2018-09-17,1954.73,1956.82,1887.41,1908.03,7050192
2018-09-14,2018-09-14,1992.93,1993.65,1959.22,1970.19,3642030
2018-09-13,2018-09-13,2000,2008.76,1982.03,1989.87,3621511
2018-09-12,2018-09-12,1994,2000,1962.44,1990.0,4414012
2018-09-11,2018-09-11,1928.27,1988.88,1917,1987.15,5033645
2018-09-10,2018-09-10,1971,1973.04,1931.52,1939.01,4544831
2018-09-07,2018-09-07,1938.71,1975.2,1937.35,1952.07,4892643
2018-09-06,2018-09-06,2006.51,2007.5,1935.21,1958.31,7488680
2018-09-05,2018-09-05,2038.11,2040.38,1989.89,1994.82,8220576
2018-09-04,2018-09-04,2026.5,2050.5,2013,2039.51,5721093
2018-08-31,2018-08-31,2007,2022.38,2004.74,2012.71,4204378
2018-08-30,2018-08-30,1997.42,2025.57,1986.9,2002.38,7277257
2018-08-29,2018-08-29,1953.45,1998.69,1948.94,1998.1,6531761
2018-08-28,2018-08-28,1937.73,1941.78,1928.82,1932.82,3100727
2018-08-27,2018-08-27,1915,1927.7,1909.28,1927.68,3569037
2018-08-24,2018-08-24,1910.51,1916.01,1902.54,1905.39,2800863
2018-08-23,2018-08-23,1907.17,1919.5,1900.76,1902.9,3562997
2018-08-22,2018-08-22,1876.64,1905.8,1876.64,1904.9,3080464
2018-08-21,2018-08-21,1880,1897.75,1874.41,1883.42,3105626
2018-08-20,2018-08-20,1890.57,1891.75,1866.06,1876.71,2862016
2018-08-17,2018-08-17,1885.8,1888,1855.55,1882.22,4104300
2018-08-16,2018-08-16,1903.94,1905,1883.55,1886.52,3957090
2018-08-15,2018-08-15,1909.55,1916.21,1869.79,1882.62,7700682
2018-08-14,2018-08-14,1919.39,1921.01,1900,1919.65,3986123
2018-08-13,2018-08-13,1898.5,1925,1893.67,1896.2,5531475
2018-08-10,2018-08-10,1888.51,1899.5,1878.21,1886.3,3639927
2018-08-09,2018-08-09,1882,1914.57,1877.48,1898.52,4860374
2018-08-08,2018-08-08,1861,1891.51,1854.5,1886.52,3963017
2018-08-07,2018-08-07,1854.53,1869.72,1846.27,1862.48,3377473
2018-08-06,2018-08-06,1825.81,1847.77,1818.92,1847.75,3391825
2018-08-03,2018-08-03,1837.74,1841,1821.5,1823.29,3460487
2018-08-02,2018-08-02,1788.77,1836.56,1786,1834.33,4354681
2018-08-01,2018-08-01,1784,1798.44,1776.02,1797.17,4153096
2018-07-31,2018-07-31,1786.49,1801.83,1739.32,1777.44,5738713
2018-07-30,2018-07-30,1827.33,1829.5,1766.02,1779.22,6562321
2018-07-27,2018-07-27,1876.05,1880.05,1806.53,1817.27,9680959
2018-07-26,2018-07-26,1839,1844.68,1804.5,1808.0,9924371
2018-07-25,2018-07-25,1829.3,1863.84,1822.64,1863.61,3836333
2018-07-24,2018-07-24,1829.01,1840,1809.38,1829.24,4278723
2018-07-23,2018-07-23,1812.21,1819,1769.99,1802.0,3888462
2018-07-20,2018-07-20,1825.01,1834.84,1810.06,1813.7,3891566
2018-07-19,2018-07-19,1829.46,1841,1811.27,1812.97,4676942
2018-07-18,2018-07-18,1848,1858.88,1831.27,1842.92,4861913
2018-07-17,2018-07-17,1811.56,1851.69,1797.38,1843.93,5682881
2018-07-16,2018-07-16,1821.95,1841.95,1814.45,1822.49,5466195
2018-07-13,2018-07-13,1803.93,1815.3,1795.23,1813.03,4386679
2018-07-12,2018-07-12,1764.51,1798,1762.18,1796.62,4532743
2018-07-11,2018-07-11,1737.99,1756.96,1734,1755.0,3209782
2018-07-10,2018-07-10,1738.53,1750,1731,1743.07,3002905
2018-07-09,2018-07-09,1724.05,1739.56,1716.23,1739.02,3011988
2018-07-06,2018-07-06,1696,1715.27,1691.67,1710.63,2650262
2018-07-05,2018-07-05,1705.38,1710.69,1682.15,1699.73,2983110
2018-07-03,2018-07-03,1723.96,1725,1692.48,1693.96,2177276
2018-07-02,2018-07-02,1682.7,1713.89,1678.06,1713.78,3185696
2018-06-29,2018-06-29,1717,1723.41,1694.32,1699.8,4543508
2018-06-28,2018-06-28,1672.54,1705.5,1661.17,1701.45,4529700
2018-06-27,2018-06-27,1708.11,1711.95,1660,1660.51,4872201
2018-06-26,2018-06-26,1672.37,1701.57,1663.34,1691.09,4386585
2018-06-25,2018-06-25,1702.51,1705,1646.31,1663.15,7511196
2018-06-22,2018-06-22,1742.62,1743,1711.9,1715.67,4075124
2018-06-21,2018-06-21,1760,1763.1,1717.56,1730.22,4941148
2018-06-20,2018-06-20,1742.5,1762.93,1741.36,1750.08,4332591
2018-06-19,2018-06-19,1709.04,1736.11,1700.39,1734.78,4290117
2018-06-18,2018-06-18,1706.26,1726.74,1702.56,1723.79,3107742
2018-06-15,2018-06-15,1714,1720.87,1708.52,1715.97,4777646
2018-06-14,2018-06-14,1713.48,1724.8,1708.87,1723.86,3174415
2018-06-13,2018-06-13,1702.81,1713.75,1700.12,1704.86,3327529
2018-06-12,2018-06-12,1693,1699.51,1691.52,1698.75,2259215
2018-06-11,2018-06-11,1681.51,1694.24,1680.59,1689.12,2335484
2018-06-08,2018-06-08,1681.12,1689.44,1673.01,1683.99,2955110
2018-06-07,2018-06-07,1698.56,1699.9,1676.11,1689.3,3765687
