Date,Date,Open,High,Low,Adj. Close,Volume
2018-10-05,2018-10-05,0.73,0.73,0.63,0.63,3458371.0
2018-10-04,2018-10-04,0.76,0.79,0.73,0.73,1975209.0
2018-10-03,2018-10-03,0.84,0.84,0.75,0.77,2705530.0
2018-10-02,2018-10-02,0.82,0.85,0.81,0.81,2529585.0
2018-10-01,2018-10-01,0.99,0.99,0.81,0.81,4058774.0
2018-09-28,2018-09-28,1,1.01,0.82,0.97,5306258.0
2018-09-27,2018-09-27,1.11,1.11,1.0,1.01,3382064.0
2018-09-26,2018-09-26,1.15,1.17,1.1,1.12,2988279.0
2018-09-25,2018-09-25,1.21,1.22,1.16,1.17,1381615.0
2018-09-24,2018-09-24,1.3,1.32,1.13,1.24,3470974.0
2018-09-21,2018-09-21,1.29,1.34,1.25,1.27,2004182.0
2018-09-20,2018-09-20,1.22,1.31,1.22,1.29,2711280.0
2018-09-19,2018-09-19,1.24,1.28,1.2,1.22,1283192.0
2018-09-18,2018-09-18,1.22,1.27,1.17,1.25,1726215.0
2018-09-17,2018-09-17,1.24,1.29,1.19,1.21,1704493.0
2018-09-14,2018-09-14,1.37,1.38,1.2,1.25,5720255.0
2018-09-13,2018-09-13,1.36,1.36,1.21,1.21,3639406.0
2018-09-12,2018-09-12,1.38,1.48,1.31,1.33,2005789.0
2018-09-11,2018-09-11,1.4,1.51,1.32,1.39,2389067.0
2018-09-10,2018-09-10,1.66,1.69,1.31,1.41,4043012.0
2018-09-07,2018-09-07,1.57,1.7,1.5,1.68,3304717.0
2018-09-06,2018-09-06,1.4,1.63,1.38,1.56,4009913.0
2018-09-05,2018-09-05,1.28,1.42,1.23,1.41,2214202.0
2018-09-04,2018-09-04,1.4,1.4,1.28,1.3,1726511.0
2018-08-31,2018-08-31,1.23,1.47,1.23,1.34,4285597.0
2018-08-30,2018-08-30,1.24,1.26,1.2,1.26,1715007.0
2018-08-29,2018-08-29,1.27,1.28,1.12,1.22,4088902.0
2018-08-28,2018-08-28,1.28,1.31,1.17,1.25,6769301.0
2018-08-27,2018-08-27,1.09,1.13,1.09,1.11,1048330.0
2018-08-24,2018-08-24,1.12,1.13,1.07,1.1,2560801.0
2018-08-23,2018-08-23,1.18,1.19,1.09,1.11,1898311.0
2018-08-22,2018-08-22,1.23,1.23,1.15,1.18,1727783.0
2018-08-21,2018-08-21,1.26,1.28,1.2,1.23,2213911.0
2018-08-20,2018-08-20,1.3,1.35,1.22,1.23,2004296.0
2018-08-17,2018-08-17,1.44,1.44,1.27,1.32,2442881.0
2018-08-16,2018-08-16,1.59,1.64,1.42,1.46,1757167.0
